t,t0,treatment_period,yit,country,x_load,temp
17446,0,0,151294,denmark,541951,50.266
17446,0,0,144175,estonia,135933,46.492
17446,0,0,179560,finland,1299219,45.803
17446,0,0,1090858,france,6970079,57.929
17446,0,0,3307026,germany,33361976,52.361
17446,0,0,193021.75,hungary,2786990,52.996
17446,0,0,1666401,italy,4609935,62.831
17446,0,0,14285,lithuania,197722,45.369
17446,0,0,5380,luxembourg,286981,53.648
17446,0,0,1099555.25,netherlands,7463699,56.025
17446,0,0,50850,norway,2066306,43.363
17446,0,0,2063466,poland,2802963,49.959
17446,0,0,509315,portugal,789263,69.495
17446,0,0,446341,romania,984624,53.246
17446,0,0,69508,slovakia,489408,55.24
17446,0,0,2209630,spain,3832594,67.114
17453,0,0,215436.5,austria,3956466,56.019
17453,0,0,433359,belgium,5599655,61.436
17453,0,0,180025,bosnia_herzegovina,198834,NA
17453,0,0,415559,bulgaria,570949,56.166
17453,0,0,815377,czech_republic,1060922,55.881
17453,0,0,152117,denmark,528599,55.651
17453,0,0,155902,estonia,134393,46.336
17453,0,0,190676,finland,1323931,45.154
17453,0,0,995350,france,6739443,61.74
17453,0,0,4213390,germany,32719079,58.124
17453,0,0,202037.75,hungary,2768954,57.439
17453,0,0,1761601,italy,4617696,63.964
17453,0,0,10904,lithuania,194665,48.888
17453,0,0,4906.75,luxembourg,313611,57.733
17453,0,0,1156700,netherlands,7339127,59.527
17453,0,0,53506,norway,2035033,46.75
17453,0,0,2190508,poland,2783386,56.312
17453,0,0,493538,portugal,778841,68.562
17453,0,0,445504,romania,941775,61.114
17453,0,0,70076,slovakia,480665,56.795
17453,0,0,1887260,spain,3910385,62.379
17460,0,0,192841.75,austria,4006302,52.606
17460,0,0,421209,belgium,5698968,54.974
17460,0,0,182653,bosnia_herzegovina,206768,NA
17460,0,0,420542,bulgaria,602210,47.702
17460,0,0,756087,czech_republic,1089142,51.971
17460,0,0,126548,denmark,546559,51.328
17460,0,0,196083,estonia,146109,34.076
17460,0,0,274374,finland,1460990,34.159
17460,0,0,1025748,france,7071341,55.208
17460,0,0,3953253.5,germany,33447856,52.582
17460,0,0,198174.25,hungary,2709285,49.782
17460,0,0,1568146,italy,4665510,60.982
17460,0,0,10581,lithuania,202557,37.821
17460,0,0,5622.5,luxembourg,297621,50.806
17460,0,0,1192712.25,netherlands,7559155,55.826
17460,0,0,51949,norway,2212372,40.62
17460,0,0,2199141,poland,2831647,47.54
17460,0,0,481707,portugal,765133,67.374
17460,0,0,422244,romania,983344,52.754
17460,0,0,69350,slovakia,491242,51.606
17460,0,0,1975110,spain,3901139,62.147
17467,0,0,161825.5,austria,4082046,46.726
17467,0,0,475003,belgium,5643571,48.91
17467,0,0,197170,bosnia_herzegovina,216312,NA
17467,0,0,329862,bulgaria,632552,41.436
17467,0,0,639553,czech_republic,1103926,44.821
17467,0,0,132804,denmark,560960,45.872
17467,0,0,143648,estonia,147310,35.609
17467,0,0,241721,finland,1470448,35.09
17467,0,0,1156970,france,7462880,48.752
17467,0,0,2690175,germany,31436030,47.114
17467,0,0,192397.25,hungary,2722246,45.707
17467,0,0,1752426,italy,4369684,58.444
17467,0,0,10400,lithuania,196265,40.202
17467,0,0,6035.75,luxembourg,261429,44.603
17467,0,0,1205227.25,netherlands,7641055,50.669
17467,0,0,52114,norway,2270961,40.036
17467,0,0,1846644,poland,2698595,43.469
17467,0,0,380835,portugal,744807,66.975
17467,0,0,447395,romania,1007999,44.924
17467,0,0,61818,slovakia,490588,46.418
17467,0,0,1697171,spain,3749054,58.818
17474,0,0,273755.75,austria,4378650,47.763
17474,0,0,462468,belgium,6084620,43.806
17474,0,0,204613,bosnia_herzegovina,218901,NA
17474,0,0,398667,bulgaria,653782,44.036
17474,0,0,772131,czech_republic,1131418,43.018
17474,0,0,185446,denmark,565108,44.751
17474,0,0,147464,estonia,143759,42.037
17474,0,0,190714,finland,1394942,43.037
17474,0,0,1335058,france,8508110,45.174
17474,0,0,4678092.25,germany,34125850,44.557
17474,0,0,276637.5,hungary,2879933,46.496
17474,0,0,2040715,italy,4784851,56.454
17474,0,0,10650,lithuania,203471,41.165
17474,0,0,7003.75,luxembourg,292962,42.28
17474,0,0,1411606.75,netherlands,7777135,45.256
17474,0,0,50933,norway,2308500,39.456
17474,0,0,2372288,poland,2902872,45.759
17474,0,0,534213,portugal,779344,58.566
17474,0,0,504608,romania,1028180,49.467
17474,0,0,73716,slovakia,506012,47.619
17474,0,0,1920113,spain,3981167,49.796
17481,0,0,293315,austria,4587447,40.619
17481,0,0,441692,belgium,6106394,43.917
17481,0,0,198605,bosnia_herzegovina,228002,NA
17481,0,0,416570,bulgaria,652111,46.841
17481,0,0,841383,czech_republic,1158663,38.33
17481,0,0,186717,denmark,579698,40.848
17481,0,0,169544,estonia,147853,38.255
17481,0,0,220799,finland,1446866,38.092
17481,0,0,1322218,france,8845849,45.581
17481,0,0,4407625.5,germany,34920528,40.815
17481,0,0,275156,hungary,2936021,41.461
17481,0,0,2209455,italy,4911341,53.518
17481,0,0,10469,lithuania,206474,36.773
17481,0,0,7221.5,luxembourg,295054,39.153
17481,0,0,1302824.5,netherlands,7890810,45.188
17481,0,0,49460,norway,2507925,32.593
17481,0,0,2304066,poland,2891003,39.49
