mth,country,category_group,mwh
2015-03-01,latvia,other,63111
2015-03-01,latvia,renewable_ex_nuclear,384438
2015-03-01,lithuania,fossil,126658
2015-03-01,lithuania,other,8461
2015-03-01,lithuania,renewable_ex_nuclear,211241
2015-03-01,luxembourg,fossil,30319.25
2015-03-01,luxembourg,renewable_ex_nuclear,28019.25
2015-03-01,montenegro,fossil,122207
2015-03-01,montenegro,renewable_ex_nuclear,23740
2015-03-01,netherlands,fossil,3164398.25
2015-03-01,netherlands,nuclear,316226
2015-03-01,netherlands,other,3744465.25
2015-03-01,netherlands,renewable_ex_nuclear,107302.25
2015-03-01,norway,fossil,227982
2015-03-01,norway,other,33208
2015-03-01,norway,renewable_ex_nuclear,11066866
2015-03-01,poland,fossil,9935996
2015-03-01,poland,renewable_ex_nuclear,1268289
2015-03-01,portugal,fossil,1330894
2015-03-01,portugal,other,30181
2015-03-01,portugal,renewable_ex_nuclear,2470351
2015-03-01,romania,fossil,1811859
2015-03-01,romania,nuclear,878802
2015-03-01,romania,renewable_ex_nuclear,2388588
2015-03-01,slovakia,fossil,291498
2015-03-01,slovakia,nuclear,1122578
2015-03-01,slovakia,other,273576
2015-03-01,slovakia,renewable_ex_nuclear,493539
2015-03-01,slovenia,fossil,313248
2015-03-01,slovenia,nuclear,451267
2015-03-01,slovenia,renewable_ex_nuclear,262445
2015-03-01,spain,fossil,5445184
2015-03-01,spain,nuclear,4527110
2015-03-01,spain,other,49984
2015-03-01,spain,renewable_ex_nuclear,9427190
2015-03-01,sweden,nuclear,4534410
2015-03-01,sweden,other,664721
2015-03-01,sweden,renewable_ex_nuclear,6844043
2015-03-01,switzerland,fossil,10894
2015-03-01,switzerland,renewable_ex_nuclear,12345
2015-04-01,austria,fossil,785489.75
2015-04-01,austria,other,432485.25
2015-04-01,austria,renewable_ex_nuclear,3050354.5
2015-04-01,belgium,fossil,1623703
2015-04-01,belgium,nuclear,1513128
2015-04-01,belgium,other,381502
2015-04-01,belgium,renewable_ex_nuclear,981443
2015-04-01,bulgaria,fossil,1704825
2015-04-01,bulgaria,nuclear,831292
2015-04-01,bulgaria,renewable_ex_nuclear,860571
2015-04-01,czech_republic,fossil,3031006
2015-04-01,czech_republic,nuclear,1862423
2015-04-01,czech_republic,other,76043
2015-04-01,czech_republic,renewable_ex_nuclear,993303
2015-04-01,denmark,fossil,1029368
2015-04-01,denmark,renewable_ex_nuclear,1081373
2015-04-01,estonia,fossil,480411
2015-04-01,estonia,renewable_ex_nuclear,94299
2015-04-01,finland,fossil,1093908
2015-04-01,finland,nuclear,1689565
2015-04-01,finland,other,127252
2015-04-01,finland,renewable_ex_nuclear,1694513
2015-04-01,france,fossil,1727727
2015-04-01,france,nuclear,26788022
2015-04-01,france,renewable_ex_nuclear,7083058
2015-04-01,germany,fossil,15101003.75
2015-04-01,germany,nuclear,5926876
2015-04-01,germany,other,3446555.5
2015-04-01,germany,renewable_ex_nuclear,13507537
2015-04-01,greece,fossil,1277021
2015-04-01,greece,renewable_ex_nuclear,991570
2015-04-01,hungary,fossil,476887.75
2015-04-01,hungary,nuclear,900783
2015-04-01,hungary,other,60440
2015-04-01,hungary,renewable_ex_nuclear,161409.75
2015-04-01,ireland,fossil,1387921
2015-04-01,ireland,other,887.5
2015-04-01,ireland,renewable_ex_nuclear,411911
2015-04-01,latvia,fossil,42880
2015-04-01,latvia,other,57569
2015-04-01,latvia,renewable_ex_nuclear,395228
2015-04-01,lithuania,fossil,120929
2015-04-01,lithuania,other,7792
2015-04-01,lithuania,renewable_ex_nuclear,192223
2015-04-01,luxembourg,fossil,26676
2015-04-01,luxembourg,renewable_ex_nuclear,24906.5
2015-04-01,montenegro,fossil,91282
2015-04-01,montenegro,renewable_ex_nuclear,32455
2015-04-01,netherlands,fossil,2914749.25
2015-04-01,netherlands,nuclear,299524.75
2015-04-01,netherlands,other,3292528.25
2015-04-01,netherlands,renewable_ex_nuclear,70478
2015-04-01,norway,fossil,210182
2015-04-01,norway,other,30569
2015-04-01,norway,renewable_ex_nuclear,9218515
2015-04-01,poland,fossil,8787366
2015-04-01,poland,renewable_ex_nuclear,1279555
2015-04-01,portugal,fossil,1389632
2015-04-01,portugal,other,25114
2015-04-01,portugal,renewable_ex_nuclear,1748323
2015-04-01,romania,fossil,1497105
2015-04-01,romania,nuclear,844999
2015-04-01,romania,renewable_ex_nuclear,2331503
2015-04-01,slovakia,fossil,248402
2015-04-01,slovakia,nuclear,940520
2015-04-01,slovakia,other,245155
2015-04-01,slovakia,renewable_ex_nuclear,570904
2015-04-01,slovenia,fossil,310374
2015-04-01,slovenia,nuclear,133566
2015-04-01,slovenia,renewable_ex_nuclear,253688
2015-04-01,spain,fossil,5556862
2015-04-01,spain,nuclear,4011093
2015-04-01,spain,other,30573
2015-04-01,spain,renewable_ex_nuclear,7531227
2015-04-01,sweden,nuclear,4374533
2015-04-01,sweden,other,505236
2015-04-01,sweden,renewable_ex_nuclear,5850968
2015-04-01,switzerland,fossil,2852
2015-04-01,switzerland,nuclear,98563
2015-04-01,switzerland,renewable_ex_nuclear,24418
2015-05-01,austria,fossil,282972.25
2015-05-01,austria,other,695818.5
2015-05-01,austria,renewable_ex_nuclear,3509746
2015-05-01,belgium,fossil,1362901
2015-05-01,belgium,nuclear,1785650
2015-05-01,belgium,other,338519
2015-05-01,belgium,renewable_ex_nuclear,1010899
2015-05-01,bulgaria,fossil,1241076
2015-05-01,bulgaria,nuclear,861707
2015-05-01,bulgaria,renewable_ex_nuclear,726991
2015-05-01,czech_republic,fossil,2336328
2015-05-01,czech_republic,nuclear,1786666
2015-05-01,czech_republic,other,65642
2015-05-01,czech_republic,renewable_ex_nuclear,905506
2015-05-01,denmark,fossil,745505
2015-05-01,denmark,renewable_ex_nuclear,1234544
2015-05-01,estonia,fossil,559473
2015-05-01,estonia,renewable_ex_nuclear,77933
2015-05-01,finland,fossil,821785
2015-05-01,finland,nuclear,1237616
2015-05-01,finland,other,120318
2015-05-01,finland,renewable_ex_nuclear,1985328
2015-05-01,france,fossil,808852
2015-05-01,france,nuclear,25129522
2015-05-01,france,renewable_ex_nuclear,7820916
2015-05-01,germany,fossil,12130637
2015-05-01,germany,nuclear,5784304
2015-05-01,germany,other,2849737.75
2015-05-01,germany,renewable_ex_nuclear,13878679.25
2015-05-01,greece,fossil,1426883
2015-05-01,greece,renewable_ex_nuclear,854089
2015-05-01,hungary,fossil,561317.75
2015-05-01,hungary,nuclear,888073.75
2015-05-01,hungary,other,48308.5
2015-05-01,hungary,renewable_ex_nuclear,133545.5
2015-05-01,ireland,fossil,1152212
2015-05-01,ireland,other,855
2015-05-01,ireland,renewable_ex_nuclear,625128
2015-05-01,latvia,fossil,31551
2015-05-01,latvia,other,46308
2015-05-01,latvia,renewable_ex_nuclear,240526
2015-05-01,lithuania,fossil,197888
2015-05-01,lithuania,other,6224
2015-05-01,lithuania,renewable_ex_nuclear,160204
2015-05-01,luxembourg,fossil,24446.75
2015-05-01,luxembourg,renewable_ex_nuclear,22947.5
2015-05-01,montenegro,renewable_ex_nuclear,64198
2015-05-01,netherlands,fossil,2613937
2015-05-01,netherlands,nuclear,110077.75
2015-05-01,netherlands,other,2761216.75
2015-05-01,netherlands,renewable_ex_nuclear,104664
2015-05-01,norway,fossil,212251
2015-05-01,norway,other,51034
2015-05-01,norway,renewable_ex_nuclear,8704321
2015-05-01,poland,fossil,8720615
2015-05-01,poland,renewable_ex_nuclear,902150
2015-05-01,portugal,fossil,1419830
2015-05-01,portugal,other,25603
2015-05-01,portugal,renewable_ex_nuclear,1970166
2015-05-01,romania,fossil,1269606
2015-05-01,romania,nuclear,535678
2015-05-01,romania,renewable_ex_nuclear,2067626
2015-05-01,slovakia,fossil,219964
2015-05-01,slovakia,nuclear,1016619
2015-05-01,slovakia,other,216451
2015-05-01,slovakia,renewable_ex_nuclear,597128
2015-05-01,slovenia,fossil,209271
2015-05-01,slovenia,nuclear,188982
2015-05-01,slovenia,renewable_ex_nuclear,362645
2015-05-01,spain,fossil,5524990
2015-05-01,spain,nuclear,3004592
2015-05-01,spain,other,53055
2015-05-01,spain,renewable_ex_nuclear,8364887
2015-05-01,sweden,nuclear,2949060
2015-05-01,sweden,other,373897
2015-05-01,sweden,renewable_ex_nuclear,6256831
2015-05-01,switzerland,renewable_ex_nuclear,24225
2015-06-01,austria,fossil,199751
2015-06-01,austria,other,687063
2015-06-01,austria,renewable_ex_nuclear,3319571
2015-06-01,belgium,fossil,1261258
2015-06-01,belgium,nuclear,1914374
2015-06-01,belgium,other,305127
2015-06-01,belgium,renewable_ex_nuclear,962686
2015-06-01,bulgaria,fossil,1346119
2015-06-01,bulgaria,nuclear,1247115
2015-06-01,bulgaria,renewable_ex_nuclear,731862
2015-06-01,czech_republic,fossil,2431658
2015-06-01,czech_republic,nuclear,1727229
2015-06-01,czech_republic,renewable_ex_nuclear,977546
2015-06-01,denmark,fossil,698108
2015-06-01,denmark,renewable_ex_nuclear,960425
2015-06-01,estonia,fossil,364846
2015-06-01,estonia,renewable_ex_nuclear,78182
2015-06-01,finland,fossil,428650
2015-06-01,finland,nuclear,1593191
2015-06-01,finland,other,114098
2015-06-01,finland,renewable_ex_nuclear,2057712
2015-06-01,france,fossil,770961
2015-06-01,france,nuclear,26406759
2015-06-01,france,renewable_ex_nuclear,7198741
2015-06-01,germany,fossil,14504747.5
2015-06-01,germany,nuclear,5410664.75
2015-06-01,germany,other,3364567.5
2015-06-01,germany,renewable_ex_nuclear,12552190.75
2015-06-01,greece,fossil,1646623
2015-06-01,greece,renewable_ex_nuclear,826151
2015-06-01,hungary,fossil,503549
2015-06-01,hungary,nuclear,1091467.5
2015-06-01,hungary,other,49446.25
2015-06-01,hungary,renewable_ex_nuclear,106803.5
2015-06-01,ireland,fossil,1304606.5
2015-06-01,ireland,other,616
2015-06-01,ireland,renewable_ex_nuclear,403574
2015-06-01,latvia,fossil,71839
2015-06-01,latvia,other,43001
2015-06-01,latvia,renewable_ex_nuclear,124633
2015-06-01,lithuania,fossil,195899
2015-06-01,lithuania,other,8996
2015-06-01,lithuania,renewable_ex_nuclear,190746
2015-06-01,luxembourg,fossil,20733.75
2015-06-01,luxembourg,renewable_ex_nuclear,19748.75
2015-06-01,montenegro,fossil,80445
2015-06-01,montenegro,renewable_ex_nuclear,28950
2015-06-01,netherlands,fossil,3043036.75
2015-06-01,netherlands,nuclear,197610.5
2015-06-01,netherlands,other,2204182
2015-06-01,netherlands,renewable_ex_nuclear,89043.75
2015-06-01,norway,fossil,204909
2015-06-01,norway,other,40122
2015-06-01,norway,renewable_ex_nuclear,9029278
2015-06-01,poland,fossil,9037583
2015-06-01,poland,renewable_ex_nuclear,673581
2015-06-01,portugal,fossil,1920776
2015-06-01,portugal,other,20539
